 Preparing plane wave scattering amplitudes...
 Searching for paths...
   WARNING:  rmax > distance to most distant atom.
             Some paths may be missing.
             rmax, ratx   1.00000E+01  0.00000E+00
    Rmax 10.0000  keep and heap limits   0.0000000   0.0000000
    Preparing neighbor table
    nfound  heapsize  maxheap  maxscatt   reff
    237000    15474    15474      3      9.1496
    238000    15511    15511      3      9.1526
    239000    15535    15535      3      9.1570
    240000    15567    15567      3      9.1616
    241000    15599    15599      3      9.1657
    242000    15615    15615      3      9.1689
    243000    15643    15643      3      9.1725
    244000    15691    15691      3      9.1768
    245000    15739    15739      3      9.1808
    246000    15779    15779      3      9.1854
    247000    15783    15783      3      9.1886
    248000    15831    15835      3      9.1929
    249000    15855    15859      3      9.1964
    250000    15863    15863      3      9.2005
    251000    15939    15939      3      9.2046
    252000    15999    15999      3      9.2080
    253000    16047    16047      3      9.2109
    254000    16127    16127      3      9.2137
    255000    16143    16143      3      9.2192
    256000    16183    16183      3      9.2219
    257000    16207    16207      3      9.2250
    258000    16215    16215      3      9.2290
    259000    16207    16215      3      9.2318
    260000    16259    16259      3      9.2347
    261000    16267    16267      3      9.2380
    262000    16267    16267      3      9.2387
    263000    16315    16315      3      9.2450
    264000    16347    16347      3      9.2470
    265000    16351    16355      3      9.2517
    266000    16375    16375      3      9.2554
    267000    16419    16419      3      9.2590
    268000    16427    16427      3      9.2618
    269000    16479    16479      3      9.2662
    270000    16547    16547      3      9.2698
    271000    16587    16604      3      9.2729
    272000    16651    16651      3      9.2771
    273000    16679    16679      3      9.2813
    274000    16727    16727      3      9.2846
    275000    16783    16783      3      9.2894
    276000    16807    16815      3      9.2939
    277000    16811    16815      3      9.2975
    278000    16895    16895      3      9.3031
    279000    16927    16927      3      9.3063
    280000    16935    16935      3      9.3095
    281000    16975    16975      3      9.3146
    282000    16999    16999      3      9.3196
    283000    17015    17015      3      9.3231
    284000    17033    17034      3      9.3270
    285000    17069    17069      3      9.3318
    286000    17081    17081      3      9.3356
    287000    17105    17121      3      9.3407
    288000    17153    17153      3      9.3432
    289000    17213    17213      3      9.3471
    290000    17237    17237      3      9.3509
    291000    17253    17253      3      9.3540
    292000    17277    17277      3      9.3571
    293000    17301    17301      3      9.3608
    294000    17377    17377      3      9.3655
    295000    17441    17441      3      9.3695
    296000    17509    17509      3      9.3736
    297000    17549    17549      3      9.3769
    298000    17549    17549      3      9.3791
    299000    17593    17596      3      9.3833
    300000    17641    17641      3      9.3860
    301000    17673    17673      3      9.3897
    302000    17749    17749      3      9.3929
    303000    17793    17795      3      9.3951
    304000    17877    17877      3      9.3977
    305000    17931    17931      3      9.4027
    306000    17947    17947      3      9.4064
    307000    17977    17977      3      9.4096
    308000    17977    17984      3      9.4126
    309000    18017    18017      3      9.4167
    310000    18089    18089      3      9.4198
    311000    18121    18121      3      9.4240
    312000    18121    18121      3      9.4276
    313000    18149    18149      3      9.4316
    314000    18181    18181      3      9.4347
    315000    18217    18217      3      9.4382
    316000    18233    18239      3      9.4408
    317000    18249    18249      3      9.4431
    318000    18253    18259      3      9.4460
    319000    18285    18285      3      9.4495
    320000    18329    18333      3      9.4531
    321000    18349    18349      3      9.4567
    322000    18421    18421      3      9.4599
    323000    18513    18513      3      9.4623
    324000    18593    18593      3      9.4657
    325000    18632    18632      3      9.4685
    326000    18633    18633      3      9.4703
    327000    18629    18641      3      9.4727
    328000    18660    18661      3      9.4762
    329000    18677    18677      3      9.4792
    330000    18693    18701      3      9.4811
    331000    18721    18725      3      9.4851
    332000    18749    18749      3      9.4884
    333000    18745    18749      3      9.4924
    334000    18752    18753      3      9.4951
    335000    18785    18785      3      9.4980
    336000    18797    18797      3      9.5011
    337000    18837    18837      3      9.5027
    338000    18893    18893      3      9.5053
    339000    18901    18901      3      9.5084
    340000    18965    18965      3      9.5118
    341000    18997    18997      3      9.5155
    342000    19041    19045      3      9.5200
    343000    19104    19104      3      9.5231
    344000    19173    19174      3      9.5261
    345000    19201    19201      3      9.5287
    346000    19201    19201      3      9.5315
    347000    19249    19249      3      9.5334
    348000    19297    19301      3      9.5356
    349000    19313    19313      3      9.5382
    350000    19361    19361      3      9.5410
    351000    19432    19432      3      9.5442
    352000    19469    19469      3      9.5480
    353000    19485    19493      3      9.5511
    354000    19501    19501      3      9.5530
    355000    19546    19546      3      9.5556
    356000    19587    19587      3      9.5592
    357000    19591    19595      3      9.5618
    358000    19643    19643      3      9.5652
    359000    19643    19643      3      9.5689
    360000    19681    19697      3      9.5722
    361000    19713    19721      3      9.5743
    362000    19733    19733      3      9.5765
    363000    19765    19781      3      9.5780
    364000    19825    19825      3      9.5809
    365000    19890    19893      3      9.5849
    366000    19963    19963      3      9.5891
    367000    20007    20019      3      9.5907
    368000    20035    20043      3      9.5933
    369000    20087    20095      3      9.5958
    370000    20067    20095      3      9.5969
    371000    20059    20095      3      9.5991
    372000    20091    20095      3      9.6031
    373000    20099    20099      3      9.6059
    374000    20119    20123      3      9.6086
    375000    20171    20173      3      9.6116
    376000    20151    20173      3      9.6141
    377000    20167    20175      3      9.6171
    378000    20219    20219      3      9.6193
    379000    20219    20219      3      9.6217
    380000    20219    20219      3      9.6242
    381000    20231    20231      3      9.6259
    382000    20235    20267      3      9.6279
    383000    20243    20267      3      9.6303
    384000    20263    20267      3      9.6327
    385000    20263    20271      3      9.6349
    386000    20271    20275      3      9.6372
    387000    20303    20304      3      9.6402
    388000    20327    20327      3      9.6417
    389000    20351    20366      3      9.6448
    390000    20359    20366      3      9.6466
    391000    20355    20373      3      9.6495
    392000    20339    20373      3      9.6531
    393000    20379    20381      3      9.6564
    394000    20375    20381      3      9.6586
    395000    20363    20381      3      9.6611
    396000    20367    20381      3      9.6637
    397000    20403    20406      3      9.6683
    398000    20457    20459      3      9.6705
    399000    20483    20483      3      9.6723
    400000    20511    20511      3      9.6750
    401000    20543    20551      3      9.6765
    402000    20588    20591      3      9.6790
    403000    20581    20591      3      9.6818
    404000    20617    20621      3      9.6859
    405000    20605    20629      3      9.6880
    406000    20587    20629      3      9.6915
    407000    20605    20629      3      9.6948
    408000    20611    20629      3      9.6973
    409000    20647    20647      3      9.6999
    410000    20687    20690      3      9.7030
    411000    20737    20741      3      9.7062
    412000    20767    20769      3      9.7095
    413000    20751    20769      3      9.7126
    414000    20763    20779      3      9.7148
    415000    20751    20779      3      9.7164
    416000    20747    20779      3      9.7183
    417000    20755    20779      3      9.7209
    418000    20721    20779      3      9.7227
    419000    20739    20779      3      9.7248
    420000    20743    20779      3      9.7273
    421000    20743    20779      3      9.7294
    422000    20749    20779      3      9.7318
    423000    20805    20809      3      9.7342
    424000    20773    20809      3      9.7362
    425000    20748    20809      3      9.7387
    426000    20719    20809      3      9.7412
    427000    20679    20809      3      9.7436
    428000    20699    20809      3      9.7457
    429000    20711    20809      3      9.7487
    430000    20683    20809      3      9.7506
    431000    20695    20809      3      9.7526
    432000    20691    20809      3      9.7555
    433000    20703    20809      3      9.7579
    434000    20655    20809      3      9.7592
    435000    20634    20809      3      9.7615
    436000    20614    20809      3      9.7632
    437000    20611    20809      3      9.7655
    438000    20575    20809      3      9.7679
    439000    20563    20809      3      9.7705
    440000    20527    20809      3      9.7728
    441000    20467    20809      3      9.7748
    442000    20423    20809      3      9.7785
    443000    20375    20809      3      9.7808
    444000    20319    20809      3      9.7828
    445000    20287    20809      3      9.7855
    446000    20271    20809      3      9.7878
    447000    20235    20809      3      9.7907
    448000    20183    20809      3      9.7935
    449000    20188    20809      3      9.7962
    450000    20170    20809      3      9.7988
    451000    20113    20809      3      9.8016
    452000    20105    20809      3      9.8042
    453000    20084    20809      3      9.8069
    454000    20021    20809      3      9.8093
    455000    20048    20809      3      9.8115
    456000    20052    20809      3      9.8147
    457000    20054    20809      3      9.8165
    458000    20009    20809      3      9.8183
    459000    19997    20809      3      9.8220
    460000    19961    20809      3      9.8248
    461000    19918    20809      3      9.8268
    462000    19845    20809      3      9.8290
    463000    19809    20809      3      9.8313
    464000    19829    20809      3      9.8336
    465000    19769    20809      3      9.8364
    466000    19727    20809      3      9.8381
    467000    19673    20809      3      9.8410
    468000    19621    20809      3      9.8429
    469000    19543    20809      3      9.8449
    470000    19513    20809      3      9.8464
    471000    19462    20809      3      9.8490
    472000    19389    20809      3      9.8517
    473000    19289    20809      3      9.8530
    474000    19196    20809      3      9.8559
    475000    19145    20809      3      9.8579
    476000    19051    20809      3      9.8616
    477000    18985    20809      3      9.8641
    478000    18935    20809      3      9.8661
    479000    18873    20809      3      9.8677
    480000    18765    20809      3      9.8696
    481000    18678    20809      3      9.8720
    482000    18607    20809      3      9.8746
    483000    18519    20809      3      9.8771
    484000    18381    20809      3      9.8791
    485000    18291    20809      3      9.8812
    486000    18183    20809      3      9.8834
    487000    18087    20809      3      9.8854
    488000    17987    20809      3      9.8879
    489000    17912    20809      3      9.8900
    490000    17801    20809      3      9.8917
    491000    17685    20809      3      9.8933
    492000    17596    20809      3      9.8959
    493000    17471    20809      3      9.8978
    494000    17297    20809      3      9.9002
    495000    17198    20809      3      9.9023
    496000    17016    20809      3      9.9045
    497000    16835    20809      3      9.9071
    498000    16643    20809      3      9.9084
    499000    16459    20809      3      9.9109
    500000    16291    20809      3      9.9128
    501000    16083    20809      3      9.9146
    502000    15897    20809      3      9.9167
    503000    15754    20809      3      9.9186
    504000    15574    20809      3      9.9204
    505000    15374    20809      3      9.9225
    506000    15194    20809      3      9.9239
    507000    15014    20809      3      9.9264
    508000    14763    20809      3      9.9286
    509000    14555    20809      3      9.9316
    510000    14317    20809      3      9.9342
    511000    14002    20809      3      9.9362
    512000    13739    20809      3      9.9389
    513000    13435    20809      3      9.9408
    514000    13219    20809      3      9.9434
    515000    13012    20809      3      9.9453
    516000    12782    20809      3      9.9476
    517000    12501    20809      3      9.9489
    518000    12193    20809      3      9.9508
    519000    11848    20809      3      9.9530
    520000    11569    20809      3      9.9551
    521000    11281    20809      3      9.9564
    522000    10973    20809      3      9.9578
    523000    10680    20809      3      9.9597
    524000    10340    20809      3      9.9612
    525000     9909    20809      3      9.9630
    526000     9538    20809      3      9.9654
    527000     9107    20809      3      9.9671
    528000     8719    20809      3      9.9690
    529000     8289    20809      3      9.9707
    530000     7867    20809      3      9.9724
    531000     7457    20809      3      9.9738
    532000     6971    20809      3      9.9758
    533000     6442    20809      3      9.9780
    534000     5968    20809      3      9.9799
    535000     5411    20809      3      9.9821
    536000     4881    20809      3      9.9838
    537000     4404    20809      3      9.9857
    538000     3803    20809      3      9.9876
    539000     3191    20809      3      9.9901
    540000     2564    20809      3      9.9929
    541000     1928    20809      3      9.9953
    542000     1281    20809      3      9.9966
    543000      566    20809      3      9.9987
    Paths found   543766   (maxheap, maxscatt   20809   3)
 Eliminating path degeneracies...
    Plane wave chi amplitude filter   2.50%
    Unique paths    360,  total paths    2534
 Done with module 4: pathfinder.
