 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
    226    10.277     8.000     4   7.1090
    227     1.891     8.000     4   7.1090 neglected
    228    68.411     8.000     4   7.1090
    229     3.079     8.000     3   7.1102
    230     4.391     4.000     2   7.1283
    231     5.303     8.000     3   7.1282
    232     4.066     8.000     3   7.1311
    233     2.805     8.000     4   7.1435
    234     2.616     8.000     4   7.1646 neglected
    235     4.994     8.000     3   7.1674
    236     3.433     8.000     4   7.1686
    237     3.053     8.000     3   7.1699
    238     2.653     8.000     3   7.2460 neglected
    239     2.895     8.000     3   7.2566
    240     2.959     8.000     3   7.2566
    241     4.833     8.000     4   7.2566
    242     4.889     8.000     4   7.2566
    243     4.096     4.000     2   7.2570
    244     2.878     8.000     3   7.2574
    245     2.962     8.000     3   7.2573
    246     4.805     8.000     4   7.2574
    247     4.897     8.000     4   7.2573
    248     5.087     8.000     3   7.2617
    249     2.930     8.000     3   7.2632
    250    17.156     8.000     2   7.2695
    251     6.432     8.000     3   7.2749
    252     4.022     4.000     2   7.2909
    253     3.447     8.000     3   7.3117
    254     1.985     8.000     3   7.3193 neglected
    255     2.480     8.000     4   7.3280 neglected
    256     2.482     8.000     4   7.3280 neglected
    257     4.803     8.000     4   7.3280
    258     4.807     8.000     4   7.3280
    259    16.637     8.000     2   7.3369
    260     3.612     8.000     3   7.3802
    261     3.571     8.000     3   7.3802
    262     2.273     8.000     3   7.3830 neglected
    263     3.618     8.000     3   7.3830
    264     7.267     8.000     3   7.3830
    265     5.546     8.000     3   7.4069
    266     5.256     8.000     3   7.4069
    267     3.963     8.000     3   7.4375
    268     3.422     8.000     3   7.4375
    269     3.015     8.000     3   7.4720
    270     2.023     8.000     4   7.4751 neglected
    271     3.340     8.000     4   7.4751
    272     4.169     4.000     4   7.4751
    273     1.467     8.000     3   7.5227 neglected
    274     4.446     8.000     4   7.5691
    275     3.366     4.000     2   7.6274
    276     2.111    16.000     3   7.6539 neglected
    277     2.498    16.000     3   7.6539 neglected
    278     3.291     4.000     2   7.6709
    279     3.127     8.000     3   7.6790
    280    12.815     8.000     3   7.6790
    281     5.201     8.000     4   7.6870
    282    12.768     4.000     4   7.6870
    283     3.975     8.000     3   7.6957
    284     2.762     8.000     4   7.6957
    285    11.026     8.000     4   7.6957
    286     7.925     8.000     4   7.7037
    287     7.039     4.000     2   7.7100
    288     2.102    16.000     3   7.7150 neglected
    289     2.460    16.000     3   7.7150 neglected
    290     4.382     8.000     3   7.7376
    291     6.941     4.000     2   7.7418
    292     3.137     4.000     2   7.7631
    293     4.367     8.000     3   7.7901
    294     3.523     8.000     3   7.7901
    295     3.041     4.000     2   7.8228
    296     3.483     8.000     3   7.8289
    297     4.207     8.000     3   7.8670
    298     4.168     8.000     4   7.9003
    299     4.158     8.000     3   7.9231
    300     6.808     8.000     3   7.9705
    301     3.403     8.000     3   7.9705
    302     4.418     4.000     4   8.0025
    303     3.900     8.000     4   8.0025
    304     1.270     8.000     4   8.1070 neglected
    305     5.188     8.000     4   8.1070
    306     3.599     8.000     4   8.1389
    307     3.415     8.000     3   8.2149
    308     3.949     8.000     3   8.2937
    309     4.484     4.000     3   8.3623
    310     3.612     4.000     4   8.3690
    311     4.466     2.000     4   8.3690
    312     3.690     4.000     4   8.3751
    313    10.191     8.000     2   8.4641
    314     9.975     8.000     2   8.5155
    315     3.561     8.000     3   8.5221
    316     3.409     8.000     3   8.5221
    317     4.094     8.000     3   8.5237
    318     3.285     8.000     3   8.5237
    319     9.740     8.000     2   8.5732
    320     3.065     8.000     3   8.5843
    321     2.946     8.000     3   8.5843
    322     2.810     8.000     3   8.5998
    323     2.330     8.000     4   8.6210 neglected
    324     1.810    16.000     3   8.6419 neglected
    325     4.200    16.000     3   8.6419
    326     3.941    16.000     3   8.6419
    327     2.458    16.000     3   8.7709 neglected
    328     2.471    16.000     3   8.8221 neglected
    329     2.450    16.000     3   8.8221 neglected
    330     4.441     8.000     3   8.9400
    331     8.366     8.000     2   8.9466
    332     4.405     8.000     3   8.9558
    333     6.924     4.000     3   8.9678
    334     6.121     2.000     4   8.9678
    335     5.551     8.000     3   8.9692
    336     4.951     8.000     3   8.9692
    337     3.151     8.000     4   8.9918
    338     5.065     8.000     4   9.0114
    339     5.033     8.000     4   9.0265
    340     4.070     8.000     4   9.0267
    341     4.041     8.000     4   9.0417
    342     6.588     4.000     3   9.0770
    343     5.786     2.000     4   9.0770
    344     4.557    16.000     3   9.0923
    345     4.357    16.000     3   9.0923
    346     3.882     8.000     3   9.3937
    347     6.286     4.000     3   9.4080
    348     5.674     4.000     3   9.4080
    349    10.780     4.000     4   9.4080
    350     5.901     2.000     4   9.4080
    351    10.861     4.000     4   9.4080
    352     4.810     2.000     4   9.4080
    353     3.371     8.000     4   9.4104
    354     3.363     4.000     2   9.5003
    355     3.233     4.000     2   9.6035
    356     6.237     8.000     2   9.6975
    357     3.799     8.000     3   9.7248
    358     3.355     8.000     3   9.7248
    359     3.928    16.000     3   9.8159
    360     3.820    16.000     3   9.8159
  302 paths kept,  360 examined.
 Done with module 5: F_eff.
