 Structure from AMCSD, AMS_ID: 11157            Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    3      icalc       2
 -----------------------------------------------------------------------
   3  48.000   4.1611    2.8630   -0.26592 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.9616   -0.0000   -1.9616  1  78 Pt
     1.9616    1.9616   -0.0000  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  4.400  1.0534E+01  3.5875E-02 -2.1420E+01  1.192E+00  4.6734E+00  4.7760E+00
  4.600  1.0466E+01  2.2547E-02 -2.1606E+01  1.179E+00  4.8238E+00  4.9508E+00
  4.800  1.0394E+01  1.2684E-02 -2.1766E+01  1.165E+00  4.9866E+00  5.1281E+00
  5.000  1.0318E+01  6.1915E-03 -2.1893E+01  1.152E+00  5.1602E+00  5.3076E+00
  5.200  1.0240E+01  2.9197E-03 -2.2045E+01  1.139E+00  5.3432E+00  5.4891E+00
  5.400  1.0161E+01  2.0562E-03 -2.2358E+01  1.126E+00  5.5348E+00  5.6723E+00
  5.600  1.0080E+01  3.1276E-03 -2.2673E+01  1.115E+00  5.7341E+00  5.8570E+00
  5.800  9.9998E+00  5.2493E-03 -2.2846E+01  1.103E+00  5.9404E+00  6.0431E+00
  6.000  9.9192E+00  7.6904E-03 -2.2965E+01  1.092E+00  6.1532E+00  6.2304E+00
  6.500  9.7174E+00  1.2231E-02 -2.3191E+01  1.065E+00  6.7104E+00  6.7030E+00
  7.000  9.5139E+00  1.3073E-02 -2.3316E+01  1.039E+00  7.2996E+00  7.1808E+00
  7.500  9.3080E+00  1.1651E-02 -2.3382E+01  1.016E+00  7.9166E+00  7.6624E+00
  8.000  9.1019E+00  8.9648E-03 -2.3473E+01  9.961E-01  8.5583E+00  8.1471E+00
  8.500  8.8990E+00  5.9882E-03 -2.3601E+01  9.811E-01  9.2225E+00  8.6341E+00
  9.000  8.7004E+00  3.6718E-03 -2.3876E+01  9.691E-01  9.9071E+00  9.1231E+00
