# Pd                                           Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=46 Rmt= 1.523 Rnm= 1.569 K  shell
# Pot 1 Z=46 Rmt= 1.467 Rnm= 1.504
# Gam_ch=7.677E+00 H-L exch
# Mu= 2.525E-02 kf=1.785E+00 Vint=-1.211E+01 Rs_int= 2.032
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7699
#           2       0.00000     19.01      6.00     2   3.9173
#           3       0.00000      8.43     48.00     3   4.1549
#           4       0.00000      5.18     48.00     3   4.7286
#           5       0.00000     40.02     24.00     2   4.7977
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     9.6500   -5.585409E-02  5.726397E-02  4.218914E+01
     9.7000   -5.163446E-02  5.168423E-02  4.245539E+01
     9.7500   -4.394047E-02  4.588840E-02  4.270392E+01
     9.8000   -3.488949E-02  4.008313E-02  4.292623E+01
     9.8500   -2.648384E-02  3.457697E-02  4.310980E+01
     9.9000   -2.020502E-02  2.984437E-02  4.323860E+01
     9.9500   -1.672726E-02  2.657277E-02  4.330140E+01
    10.0000   -1.580740E-02  2.551933E-02  4.331428E+01
    10.0500   -1.634722E-02  2.699622E-02  4.333186E+01
    10.1000   -1.673269E-02  3.064245E-02  4.340464E+01
    10.1500   -1.515793E-02  3.570026E-02  4.354379E+01
    10.2000   -1.010703E-02  4.151256E-02  4.373636E+01
    10.2500   -7.527480E-04  4.763131E-02  4.396649E+01
    10.3000    1.277648E-02  5.376386E-02  4.422223E+01
    10.3500    2.931942E-02  5.971187E-02  4.449555E+01
    10.4000    4.681600E-02  6.533308E-02  4.478118E+01
    10.4500    6.263234E-02  7.052019E-02  4.507560E+01
    10.5000    7.401895E-02  7.518942E-02  4.537642E+01
    10.5500    7.861717E-02  7.927435E-02  4.568195E+01
    10.6000    7.491837E-02  8.272248E-02  4.599096E+01
    10.6500    6.258767E-02  8.549321E-02  4.630252E+01
    10.7000    4.258849E-02  8.755678E-02  4.661591E+01
    10.7500    1.708117E-02  8.889352E-02  4.693053E+01
    10.8000   -1.088956E-02  8.949343E-02  4.724587E+01
    10.8500   -3.786388E-02  8.935591E-02  4.756146E+01
    10.9000   -6.050984E-02  8.848947E-02  4.787686E+01
    10.9500   -7.614338E-02  8.691163E-02  4.819161E+01
    11.0000   -8.313371E-02  8.464870E-02  4.850521E+01
    11.0500   -8.106327E-02  8.168593E-02  4.881824E+01
